,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
217,2,1,34423.08093517901,13914.330519357502,double_blink
218,3,3,19274.397017691852,5473.76285812644,double_blink
219,3,2,1820410.400353373,43008.31818292479,double_blink
220,2,4,23446.581747589196,7095.924782324147,double_blink
221,3,3,15307.670831346091,5152.676441218845,double_blink
222,3,3,28992.02921351694,8234.392241238673,double_blink
0,2,2,575474.3245119832,2235.9217189361357,left_wink
1,3,3,1136685.7540480488,7640.363581091671,left_wink
2,3,3,730798.4856335351,3794.57838692467,left_wink
3,3,3,106634.50259492834,2271.807171030892,left_wink
4,3,2,688143.2939364752,21454.103284390276,left_wink
5,4,3,2004272.4139194875,258124.13919596447,left_wink
6,2,3,663970.8753266338,2009.811719602679,left_wink
7,2,2,397551.52244958165,76373.5444860947,left_wink
8,2,0,468457.97663554957,16305.620025872058,left_wink
9,3,2,1714620.840905486,154585.0217731872,left_wink
10,2,2,209548.88895213156,64262.54063379869,left_wink
11,3,0,523807.2434413316,128821.36613745235,left_wink
12,3,2,1525267.0618460742,139439.26210901662,left_wink
13,3,2,1494692.0102119711,167246.58907178283,left_wink
14,2,2,1558802.7634615267,129543.85795702582,left_wink
15,2,2,360447.9717854525,5794.344184883104,left_wink
16,3,4,1661280.166590432,4644.694941744574,left_wink
17,3,0,524463.956183656,39709.46689981179,left_wink
18,2,0,477069.9762027599,20364.08629145188,left_wink
19,3,2,1281981.8594020407,149906.13968898042,left_wink
20,3,2,1097306.579187048,97454.90067791089,left_wink
21,3,2,1672231.8053482375,150461.75051476964,left_wink
22,2,2,15667.81971443443,5433.1306299441785,left_wink
23,3,2,2092172.8697139644,237431.9339025038,left_wink
24,2,2,926136.7838726552,3881.485837234624,left_wink
25,2,3,248637.1320289544,5434.304175092502,left_wink
26,2,3,783505.4275281351,4317.228436971266,left_wink
27,2,2,106627.42008228117,3107.2857987740144,left_wink
28,4,3,1912570.7224401473,187977.89933037543,left_wink
29,3,2,752412.0745544585,11130.656533028698,left_wink
30,2,2,1648031.3688716271,151483.92279106347,left_wink
31,3,2,585183.2315887135,4509.9998675449015,left_wink
32,2,3,473432.97984881443,2171.3381374934565,left_wink
33,2,2,25926.92983444356,2772.992929050629,left_wink
34,3,3,1680690.7122843093,171967.3841650462,left_wink
35,3,2,1097761.5254966647,3905.5549299053755,left_wink
36,3,2,1261421.0405118628,106873.051541876,left_wink
37,3,2,1017375.9246680966,72223.1693187606,left_wink
38,3,3,603264.7517098045,11392.23964355004,left_wink
39,2,2,253846.87701538918,60492.905707241785,left_wink
40,2,3,349290.67300882406,2370.6829878314184,left_wink
41,2,2,224554.60698309614,58041.67543492657,left_wink
42,3,3,1700915.803347968,150138.6835676548,left_wink
43,3,4,935693.3643026968,3689.523097282336,left_wink
44,3,0,592135.7472274656,37485.646904744644,left_wink
